31.05.2015 | 23:34:28 | INFO    | /var/run/knx-bus.pid
31.05.2015 | 23:34:28 | INFO    | knx-trace
31.05.2015 | 23:34:28 | INFO    | knx-trace::normal pid
31.05.2015 | 23:34:28 | INFO    | /var/run/knx-trace.pid
31.05.2015 | 23:34:28 | INFO    | knx-sniffer
31.05.2015 | 23:34:28 | INFO    | /var/run/knx-sniffer.php/knx-sniffer.php.pid
31.05.2015 | 23:34:29 | INFO    | knx-tracking
31.05.2015 | 23:34:29 | INFO    | /var/run/knx-tracking.php/knx-tracking.php.pid
31.05.2015 | 23:34:29 | INFO    | knx-daemon
31.05.2015 | 23:34:29 | INFO    | knx-daemon::normal pid
31.05.2015 | 23:34:29 | INFO    | /var/run/knx-daemon.pid
31.05.2015 | 23:37:18 | INFO    | knx-bus
31.05.2015 | 23:37:18 | INFO    | knx-bus::normal pid
31.05.2015 | 23:37:18 | INFO    | /var/run/knx-bus.pid
31.05.2015 | 23:37:18 | INFO    | knx-trace
31.05.2015 | 23:37:18 | INFO    | knx-trace::normal pid
31.05.2015 | 23:37:18 | INFO    | /var/run/knx-trace.pid
31.05.2015 | 23:37:18 | INFO    | knx-sniffer
31.05.2015 | 23:37:18 | INFO    | /var/run/knx-sniffer.php/knx-sniffer.php.pid
31.05.2015 | 23:37:19 | INFO    | knx-tracking
31.05.2015 | 23:37:19 | INFO    | /var/run/knx-tracking.php/knx-tracking.php.pid
31.05.2015 | 23:37:19 | INFO    | knx-daemon
31.05.2015 | 23:37:19 | INFO    | knx-daemon::normal pid
31.05.2015 | 23:37:19 | INFO    | /var/run/knx-daemon.pid
31.05.2015 | 23:38:41 | INFO    | knx-bus
31.05.2015 | 23:38:41 | INFO    | knx-bus::normal pid
31.05.2015 | 23:38:41 | INFO    | /var/run/knx-bus.pid
31.05.2015 | 23:38:42 | INFO    | knx-trace
31.05.2015 | 23:38:42 | INFO    | knx-trace::normal pid
31.05.2015 | 23:38:42 | INFO    | /var/run/knx-trace.pid
31.05.2015 | 23:38:42 | INFO    | knx-sniffer
31.05.2015 | 23:38:42 | INFO    | /var/run/knx-sniffer.php/knx-sniffer.php.pid
31.05.2015 | 23:38:42 | INFO    | knx-tracking
31.05.2015 | 23:38:42 | INFO    | /var/run/knx-tracking.php/knx-tracking.php.pid
31.05.2015 | 23:38:42 | INFO    | knx-daemon
31.05.2015 | 23:38:42 | INFO    | knx-daemon::normal pid
31.05.2015 | 23:38:42 | INFO    | /var/run/knx-daemon.pid
31.05.2015 | 23:40:41 | INFO    | knx-bus
31.05.2015 | 23:40:41 | INFO    | knx-bus::normal pid
31.05.2015 | 23:40:41 | INFO    | /var/run/knx-bus.pid
31.05.2015 | 23:40:41 | INFO    | knx-trace
31.05.2015 | 23:40:41 | INFO    | knx-trace::normal pid
31.05.2015 | 23:40:41 | INFO    | /var/run/knx-trace.pid
31.05.2015 | 23:40:41 | INFO    | knx-sniffer
31.05.2015 | 23:40:41 | INFO    | /var/run/knx-sniffer.php/knx-sniffer.php.pid
31.05.2015 | 23:40:42 | INFO    | knx-tracking
31.05.2015 | 23:40:42 | INFO    | /var/run/knx-tracking.php/knx-tracking.php.pid
31.05.2015 | 23:40:42 | INFO    | knx-daemon
31.05.2015 | 23:40:42 | INFO    | knx-daemon::normal pid
31.05.2015 | 23:40:42 | INFO    | /var/run/knx-daemon.pid
